productId,category,price,avgRating
P00000,Keyboards,107.74,4.5
P00001,Cameras,39.93,3.5
P00002,Smartphones,33.87,5.0
P00003,Headphones,51.95,4.7
P00004,Monitors,71.98,3.2
P00005,Chargers,36.07,3.7
P00006,Tablets,71.36,3.7
P00007,Keyboards,15.81,3.7
P00008,Keyboards,19.95,3.9
P00009,Chargers,189.94,3.2
P00010,Monitors,54.53,4.0
P00011,Mice,43.47,4.3
P00012,Tablets,175.51,4.9
P00013,Cameras,61.34,4.1
P00014,Chargers,241.29,3.4
P00015,Headphones,19.23,4.9
P00016,Chargers,187.98,4.3
P00017,Laptops,148.57,3.7
P00018,Speakers,179.99,4.1
P00019,Smartphones,41.79,2.8
P00020,Cameras,89.46,3.9
P00021,Mice,50.38,3.8
P00022,Mice,199.67,4.2
P00023,Monitors,31.03,3.4
P00024,Chargers,54.12,4.1
P00025,Tablets,118.46,3.3
P00026,Mice,61.68,4.5
P00027,Smartphones,209.29,4.5
P00028,Speakers,44.2,4.4
P00029,Speakers,70.38,4.6
P00030,Tablets,30.85,3.8
P00031,Cameras,92.2,4.7
P00032,Monitors,67.09,3.3
P00033,Mice,74.89,4.1
P00034,Keyboards,60.1,3.8
P00035,Speakers,17.15,4.7
P00036,Laptops,14.63,4.4
P00037,Laptops,30.11,4.5
P00038,Headphones,39.25,3.5
P00039,Smartphones,52.59,4.4
P00040,Mice,63.79,3.8
P00041,Monitors,65.14,4.0
P00042,Chargers,65.47,4.8
P00043,Mice,27.48,3.7
P00044,Cameras,457.53,2.9
P00045,Chargers,102.02,4.4
P00046,Monitors,34.36,3.7
P00047,Chargers,57.58,4.1
P00048,Chargers,17.14,3.9
P00049,Speakers,46.99,4.0
P00050,Cameras,25.9,3.5
P00051,Cameras,277.48,4.5
P00052,Monitors,35.93,4.9
P00053,Tablets,142.34,4.1
P00054,Keyboards,245.68,4.9
P00055,Tablets,28.97,4.5
P00056,Tablets,60.39,5.0
P00057,Monitors,397.82,3.4
P00058,Cameras,62.48,3.0
P00059,Headphones,41.56,3.9
P00060,Chargers,37.08,4.1
P00061,Mice,41.01,3.9
P00062,Smartphones,141.23,4.3
P00063,Monitors,11.22,5.0
P00064,Headphones,61.99,4.2
P00065,Tablets,79.77,5.0
P00066,Chargers,31.16,4.2
P00067,Mice,54.98,5.0
P00068,Headphones,92.24,3.7
P00069,Monitors,208.1,4.0
P00070,Chargers,113.99,5.0
P00071,Cameras,31.23,4.0
P00072,Keyboards,37.04,3.3
P00073,Tablets,34.95,5.0
P00074,Monitors,131.28,3.7
P00075,Mice,18.88,3.2
P00076,Tablets,75.65,4.2
P00077,Headphones,58.02,3.4
P00078,Laptops,346.78,3.8
P00079,Laptops,75.17,4.2
P00080,Headphones,175.71,3.1
P00081,Mice,40.52,4.5
P00082,Laptops,151.65,5.0
P00083,Cameras,123.71,4.6
P00084,Monitors,92.57,4.7
P00085,Smartphones,448.84,4.4
P00086,Laptops,113.69,2.9
P00087,Smartphones,114.73,4.3
P00088,Keyboards,18.22,4.0
P00089,Monitors,86.45,4.3
P00090,Cameras,48.12,4.2
P00091,Mice,136.53,4.1
P00092,Chargers,40.84,3.5
P00093,Mice,98.14,4.3
P00094,Headphones,33.19,3.7
P00095,Keyboards,35.73,5.0
P00096,Chargers,100.19,5.0
P00097,Speakers,17.72,5.0
P00098,Cameras,39.32,4.0
P00099,Tablets,39.39,4.4
P00100,Smartphones,118.97,4.3
P00101,Speakers,30.98,3.6
P00102,Speakers,92.7,4.1
P00103,Laptops,125.03,3.9
P00104,Mice,23.19,3.9
P00105,Keyboards,139.13,3.2
P00106,Headphones,30.86,4.5
P00107,Keyboards,73.69,3.0
P00108,Laptops,142.32,3.7
P00109,Laptops,43.53,3.8
P00110,Chargers,53.94,4.2
P00111,Laptops,11.07,2.9
P00112,Cameras,614.43,4.3
P00113,Monitors,170.82,4.1
P00114,Cameras,48.89,4.4
P00115,Smartphones,82.93,4.0
P00116,Monitors,24.63,4.1
P00117,Speakers,467.55,4.1
P00118,Tablets,84.05,3.5
P00119,Cameras,40.8,3.2
P00120,Tablets,72.97,4.1
P00121,Tablets,235.46,2.6
P00122,Speakers,377.02,4.2
